defense_name,defense_leader,combat_type,defense_units,chosen_counter_leader,chosen_counter_units,win_percent,seen,avg_banners,counter_cost,score,status,reason
Rey,GLREY,characters,"['GLREY', 'REYJEDITRAINING', 'BENSOLO', 'DASHRENDAR', '50RT']",GLLEIA,"['GLLEIA', 'ADMIRALRADDUS', 'CAPTAINDROGAN', 'JYNERSO', 'R2D2_LEGENDARY']",99.0,153,60.73,43.62,59.669,assigned,reliable counter found
Jabba the Hutt,JABBATHEHUTT,characters,"['JABBATHEHUTT', 'EMBO', 'KRRSANTAN', 'BOUSHH', 'UNDERCOVERLANDO']",THIRDSISTER,"['THIRDSISTER', 'FIFTHBROTHER', 'GRANDINQUISITOR', 'INQUISITORBARRISS', 'SEVENTHSISTER']",98.0,99,64.15,34.719,67.344,assigned,reliable counter found; note: underbuilt unit INQUISITORBARRISS (3 stars)
Queen Amidala,QUEENAMIDALA,characters,"['QUEENAMIDALA', 'GRANDMASTERYODA', 'MASTERQUIGON', 'PADAWANOBIWAN', 'SHAAKTI']",DARTHBANE,"['DARTHBANE', 'COUNTDOOKU']",99.0,159,64.61,10.63,92.749,assigned,reliable counter found
Darth Malgus,DARTHMALGUS,characters,"['DARTHMALGUS', 'BASTILASHANDARK', 'DARTHREVAN', 'DARTHMALAK', 'SITHMARAUDER']",JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'AHSOKATANO', 'COMMANDERAHSOKA', 'GENERALKENOBI', 'GENERALSKYWALKER']",100.0,28,63.96,43.34,59.897,assigned,reliable counter found; note: missing support unit GENERALSKYWALKER
Admiral Raddus,ADMIRALRADDUS,characters,"['ADMIRALRADDUS', 'CASSIANANDOR', 'JYNERSO', 'BISTAN', 'K2SO']",DARTHTRAYA,"['DARTHTRAYA', 'DARTHNIHILUS', 'DARTHSION', 'DARTHTALON', 'SAVAGEOPRESS']",100.0,15,63.4,20.999,81.822,assigned,reliable counter found; note: underbuilt unit DARTHTALON (3 stars)
Qui-Gon Jinn,QUIGONJINN,characters,"['QUIGONJINN', 'KIADIMUNDI', 'ANAKINKNIGHT', 'KELLERANBEQ', 'MACEWINDU']",GRANDMASTERLUKE,"['GRANDMASTERLUKE', 'JEDIKNIGHTCAL', 'JEDIKNIGHTLUKE']",100.0,42,66.05,39.39,64.146,assigned,reliable counter found
Finn,FINN,characters,"['FINN', 'EPIXPOE', 'EPIXFINN', 'ROSETICO', 'ZORIIBLISS_V2']",QUEENAMIDALA,"['QUEENAMIDALA', 'MASTERQUIGON', 'PADAWANOBIWAN']",100.0,46,66.93,27.08,76.53,assigned,reliable counter found
Leviathan,CAPITALLEVIATHAN,ships,"['CAPITALLEVIATHAN', 'SITHBOMBER', 'FURYCLASSINTERCEPTOR', 'TIEDAGGER', 'SITHINFILTRATOR', 'SITHFIGHTER']",CAPITALEXECUTOR,"['CAPITALEXECUTOR', 'PUNISHINGONE', 'RAZORCREST', 'XANADUBLOOD', 'SITHSUPREMACYCLASS', 'SLAVE1']",93.0,60,64.02,41.491,55.243,assigned,reliable counter found
Finalizer,CAPITALFINALIZER,ships,"['CAPITALFINALIZER', 'COMMANDSHUTTLE', 'TIESILENCER', 'FIRSTORDERTIEECHELON', 'TIEFIGHTERFOSF', 'TIEFIGHTERFIRSTORDER', 'EBONHAWK']",CAPITALNEGOTIATOR,"['CAPITALNEGOTIATOR', 'JEDISTARFIGHTERANAKIN', 'MARAUDER', 'YWINGCLONEWARS', 'BLADEOFDORIN']",100.0,108,74.49,35.18,69.112,assigned,reliable counter found
